familymebers,location,infection,impact,familyreunion,familyrelationship,post,search,optimism,mediatime1,mediatime2,mediatime3,mediatime4,mediatime5,mediatimetotal,mediacontent1,mediacontent2,mediacontent3,mediacontent4,mediacontent5,mediacontent6,panas1,panas2,panas3,panas4,panas5,panas6,panas7,panas8,panas9,panas10,panas11,panas12,panas13,panas14,panas15,panas16,panas17,panas18,panas19,panas20,deathanxiety1,deathanxiety2,deathanxiety3,deathanxiety4,meaninginlife1,meaninginlife2,meaninginlife3,meaninginlife4,empathy1,empathy2,sympathy1,sympathy2,dass1,dass2,dass3,dass4,dass5,dass6,dass7,dass8,dass9,dass10,dass11,dass12,dass13,dass14,dass15,dass16,dass17,dass18,dass19,dass20,dass21,PA,NA,DA,ML,DEP,ANX,STR,NEW,TRA,EMP,SYM
3,Gansu,0,3,1,5,0,4,3,5,5,4,5,5,24,4,4,4,4,4,4,4,2,4,2,4,2,2,2,4,4,2,4,2,4,2,4,4,2,4,2,3,5,1,1,7,7,7,7,1,1,5,5,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,40.00,20.00,14.00,35.00,10.00,12.00,13.00,4.75,5.00,2.00,10.00
5,Tianjin,0,5,1,4,0,4,2,0,3,1,2,1,7,5,5,5,5,5,5,2,5,1,5,1,4,5,1,1,1,2,5,1,1,5,3,3,5,2,5,5,5,5,5,5,2,2,7,5,5,5,5,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,2,20.00,38.00,25.00,23.00,20.00,22.00,26.00,1.75,0.00,10.00,10.00
3,Henan,0,3,1,5,0,4,3,1,10,1,1,1,14,5,4,3,3,4,4,3,2,3,2,3,2,1,1,3,3,2,4,2,2,3,3,3,1,3,1,2,3,2,2,6,6,6,4,2,2,5,4,2,2,1,1,2,1,1,1,2,2,2,2,2,2,1,2,1,2,1,1,2,30.00,17.00,13.00,28.00,12.00,9.00,12.00,3.25,1.00,4.00,9.00
5,Xinjiang,0,4,1,4,0,1,4,4,3,1,9,0,17,1,4,1,3,1,1,2,4,3,4,2,2,4,2,2,3,4,3,2,2,4,3,3,4,2,4,4,4,4,4,5,4,5,5,4,3,5,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,25.00,34.00,21.00,24.00,7.00,9.00,9.00,3.25,4.00,7.00,10.00
4,Shanxi,0,4,0,5,1,4,2,3,2,1,2,3,11,2,5,5,5,5,5,3,1,3,2,4,2,2,2,3,4,2,2,3,5,3,5,5,5,5,5,2,2,4,4,7,6,6,6,5,5,5,5,2,3,1,2,2,1,2,2,2,2,3,2,2,2,1,1,1,1,1,1,1,39.00,27.00,16.00,26.00,10.00,12.00,13.00,2.00,3.00,10.00,10.00
5,Shanxi,0,5,1,5,0,4,1,0,1,1,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20.00,20.00,9.00,11.00,14.00,14.00,14.00,1.00,0.00,2.00,6.00
3,Tianjin,0,4,1,3,0,2,2,2,2,1,1,3,9,4,4,4,4,4,4,3,3,2,2,2,1,2,1,1,3,2,1,1,3,3,3,2,4,2,2,3,1,1,2,4,4,3,6,3,4,4,4,2,3,2,1,2,3,1,1,3,3,3,3,2,3,2,2,2,3,1,1,2,22.00,21.00,9.00,20.00,15.00,12.00,18.00,1.75,2.00,7.00,8.00
4,Tianjin,0,3,1,5,0,3,4,3,6,5,5,2,21,2,3,4,4,5,4,4,2,4,2,3,2,4,2,4,3,2,4,2,2,4,4,3,3,4,2,5,4,3,3,6,6,5,6,4,4,4,5,2,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,2,1,1,1,35.00,25.00,19.00,29.00,7.00,8.00,12.00,4.50,3.00,8.00,9.00
5,Shanxi,0,5,1,5,0,2,5,1,5,6,5,5,22,1,4,4,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,2,4,4,4,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,21.00,19.00,13.00,19.00,9.00,8.00,10.00,5.25,1.00,6.00,6.00
3,Tianjin,0,4,1,5,0,4,2,2,0,11,7,7,27,5,5,5,5,4,4,4,1,2,3,2,1,4,1,1,3,1,4,1,3,4,5,3,2,2,3,2,2,4,2,5,6,6,6,4,4,4,4,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,29.00,21.00,14.00,29.00,7.00,9.00,9.00,6.25,2.00,8.00,8.00
4,Shanxi,0,4,1,5,1,2,2,1,1,0,1,0,3,3,3,3,3,3,3,4,4,2,2,4,2,3,1,4,4,2,3,2,3,2,4,4,3,4,4,2,4,4,4,7,6,6,6,5,4,5,5,2,2,1,1,4,2,1,1,2,1,1,2,2,3,1,1,1,2,1,1,1,36.00,25.00,17.00,31.00,11.00,9.00,13.00,0.50,1.00,9.00,10.00
6,Tianjin,0,4,0,5,0,4,2,5,12,11,3,12,43,5,5,5,5,5,5,3,5,2,5,2,4,3,4,1,1,3,4,1,1,4,3,3,4,1,3,1,4,1,2,6,6,6,7,2,4,3,5,2,1,3,1,4,2,2,3,4,2,2,3,3,3,2,4,2,3,2,1,1,21.00,36.00,12.00,32.00,19.00,13.00,18.00,9.50,5.00,6.00,8.00
3,Chongqing,0,3,1,4,0,4,4,0,2,1,1,7,11,4,4,5,4,3,4,4,3,4,3,2,1,2,1,4,4,1,4,1,1,3,2,4,3,4,1,4,2,1,2,4,6,3,6,2,2,4,2,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,1,33.00,19.00,11.00,26.00,9.00,8.00,9.00,2.75,0.00,4.00,6.00
4,Shanxi,0,4,1,4,1,4,2,1,3,1,2,5,12,5,5,5,4,4,4,2,4,3,3,2,2,3,2,2,3,3,4,1,3,4,3,2,2,3,4,2,4,4,4,4,4,4,4,4,4,4,5,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,27.00,28.00,19.00,21.00,10.00,12.00,14.00,2.75,1.00,8.00,9.00
